Date;Jour;Zone_A;Zone_B;Zone_C;Nom_vacances
01-01-2012;Dimanche;oui;oui;oui;Noël
02-01-2012;Lundi;oui;oui;oui;Noël
03-01-2012;Mardi; ; ; ;
04-01-2012;Mercredi; ; ; ;
05-01-2012;Jeudi; ; ; ;
06-01-2012;Vendredi; ; ; ;
07-01-2012;Samedi; ; ; ;
08-01-2012;Dimanche; ; ; ;
09-01-2012;Lundi; ; ; ;
10-01-2012;Mardi; ; ; ;
11-01-2012;Mercredi; ; ; ;
12-01-2012;Jeudi; ; ; ;
13-01-2012;Vendredi; ; ; ;
14-01-2012;Samedi; ; ; ;
15-01-2012;Dimanche; ; ; ;
16-01-2012;Lundi; ; ; ;
17-01-2012;Mardi; ; ; ;
18-01-2012;Mercredi; ; ; ;
19-01-2012;Jeudi; ; ; ;
20-01-2012;Vendredi; ; ; ;
21-01-2012;Samedi; ; ; ;
22-01-2012;Dimanche; ; ; ;
23-01-2012;Lundi; ; ; ;
24-01-2012;Mardi; ; ; ;
25-01-2012;Mercredi; ; ; ;
26-01-2012;Jeudi; ; ; ;
27-01-2012;Vendredi; ; ; ;
28-01-2012;Samedi; ; ; ;
29-01-2012;Dimanche; ; ; ;
30-01-2012;Lundi; ; ; ;
31-01-2012;Mardi; ; ; ;
01-02-2012;Mercredi; ; ; ;
02-02-2012;Jeudi; ; ; ;
03-02-2012;Vendredi; ; ; ;
04-02-2012;Samedi; ; ; ;
05-02-2012;Dimanche; ; ; ;
06-02-2012;Lundi; ; ; ;
07-02-2012;Mardi; ; ; ;
08-02-2012;Mercredi; ; ; ;
09-02-2012;Jeudi; ; ; ;
10-02-2012;Vendredi; ; ; ;
11-02-2012;Samedi;oui; ; ;Hiver
12-02-2012;Dimanche;oui; ; ;Hiver
13-02-2012;Lundi;oui; ; ;Hiver
14-02-2012;Mardi;oui; ; ;Hiver
15-02-2012;Mercredi;oui; ; ;Hiver
16-02-2012;Jeudi;oui; ; ;Hiver
17-02-2012;Vendredi;oui; ; ;Hiver
18-02-2012;Samedi;oui; ;oui;Hiver
19-02-2012;Dimanche;oui; ;oui;Hiver
20-02-2012;Lundi;oui; ;oui;Hiver
21-02-2012;Mardi;oui; ;oui;Hiver
22-02-2012;Mercredi;oui; ;oui;Hiver
23-02-2012;Jeudi;oui; ;oui;Hiver
24-02-2012;Vendredi;oui; ;oui;Hiver
25-02-2012;Samedi;oui;oui;oui;Hiver
26-02-2012;Dimanche;oui;oui;oui;Hiver
27-02-2012;Lundi; ;oui;oui;Hiver
28-02-2012;Mardi; ;oui;oui;Hiver
29-02-2012;Mercredi; ;oui;oui;Hiver
01-03-2012;Jeudi; ;oui;oui;Hiver
02-03-2012;Vendredi; ;oui;oui;Hiver
03-03-2012;Samedi; ;oui;oui;Hiver
04-03-2012;Dimanche; ;oui;oui;Hiver
05-03-2012;Lundi; ;oui; ;Hiver
06-03-2012;Mardi; ;oui; ;Hiver
07-03-2012;Mercredi; ;oui; ;Hiver
