ID_code_commune;Nom_commune;Population_commune;Code_departement
1001;L'Abergement-Clémenciat;821;1
1002;L'Abergement-de-Varey;268;1
1004;Ambérieu-en-Bugey;14662;1
1005;Ambérieux-en-Dombes;1806;1
1006;Ambléon;113;1
1007;Ambronay;2946;1
1008;Ambutrix;781;1
1009;Andert-et-Condon;332;1
1010;Anglefort;1116;1
1011;Apremont;379;1
1012;Aranc;330;1
1013;Arandas;147;1
1014;Arbent;3427;1
1015;Arboys en Bugey;678;1
1016;Arbigny;467;1
1017;Argis;456;1
1019;Armix;30;1
1021;Ars-sur-Formans;1520;1
1022;Artemare;1229;1
1023;Asnières-sur-Saône;76;1
1024;Attignat;3365;1
1025;Bâgé-Dommartin;4172;1
1026;Bâgé-le-Châtel;1045;1
1027;Balan;2699;1
1028;Baneins;642;1
1029;Beaupont;691;1
1030;Beauregard;836;1
1031;Bellignat;3905;1
1032;Béligneux;3443;1
1033;Valserhône;16770;1
1034;Belley;9550;1
1035;Belleydoux;316;1
1036;Valromey-sur-Séran;1358;1
1037;Bénonces;312;1
1038;Bény;778;1
1039;Béon;446;1
1040;Béréziat;490;1
1041;Bettant;768;1
1042;Bey;298;1
1043;Beynost;4943;1
1044;Billiat;645;1
1045;Birieux;288;1
1046;Biziat;920;1
1047;Blyes;1303;1
1049;La Boisse;3412;1
1050;Boissey;384;1
1051;Bolozon;92;1
1052;Bouligneux;338;1
1053;Bourg-en-Bresse;43363;1
1054;Bourg-Saint-Christophe;1517;1
1056;Boyeux-Saint-Jérôme;355;1
1057;Boz;530;1
1058;Brégnier-Cordon;838;1
1060;Brénod;505;1
1061;Brens;1166;1
1062;Bressolles;974;1
1063;Brion;577;1
1064;Briord;1114;1
1065;Buellas;1889;1
1066;La Burbanche;93;1
1067;Ceignes;271;1
1068;Cerdon;788;1
1069;Certines;1553;1
1071;Cessy;5168;1
1072;Ceyzériat;3265;1
1073;Ceyzérieu;1020;1
1074;Chalamont;2612;1
1075;Chaleins;1433;1
1076;Chaley;125;1
1077;Challes-la-Montagne;194;1
1078;Challex;1631;1
1079;Champagne-en-Valromey;852;1
1080;Champdor-Corcelles;652;1
1081;Champfromier;747;1
1082;Chanay;652;1
1083;Chaneins;982;1
1084;Chanoz-Châtenay;940;1
1085;La Chapelle-du-Châtelard;403;1
1087;Charix;289;1
1088;Charnoz-sur-Ain;930;1
1089;Château-Gaillard;2303;1
1090;Châtenay;367;1
1092;Châtillon-la-Palud;1682;1
1093;Châtillon-sur-Chalaronne;5171;1
1094;Chavannes-sur-Reyssouze;773;1
1095;Nivigne et Suran;861;1
1096;Chaveyriat;1063;1
1098;Chazey-Bons;1213;1
1099;Chazey-sur-Ain;1650;1
1100;Cheignieu-la-Balme;135;1
1101;Chevillard;159;1
1102;Chevroux;981;1
1103;Chevry;2276;1
1104;Chézery-Forens;464;1
1105;Civrieux;1919;1
1106;Cize;185;1
1107;Cleyzieu;140;1
1108;Coligny;1185;1
1109;Collonges;2276;1
1110;Colomieu;161;1
1111;Conand;135;1
1112;Condamine;473;1
