Date;Code_region;Filiere;Injection_quot
2020-04-20;28;Thermique non renouvelable;0.0
2020-04-20;75;Nucléaire;108753.75
2020-04-20;75;Solaire;756.5495
2020-04-20;52;Thermique non renouvelable;0.0
2020-04-20;93;Hydraulique;19504.99
2020-04-21;24;Nucléaire;192368.58
2020-04-21;75;Hydraulique;7710.886
2020-04-21;75;Nucléaire;117548.17
2020-04-21;75;Solaire;472.434
2020-04-21;76;Nucléaire;39538.023
2020-04-21;52;Thermique non renouvelable;0.0
2020-04-22;44;Solaire;714.0505
2020-04-22;32;Bioénergies;577.758
2020-04-22;32;Eolien;204.331
2020-04-22;32;Nucléaire;107616.945
2020-04-22;75;Thermique non renouvelable;0.0
2020-04-22;76;Hydraulique;26802.096
2020-04-22;52;Thermique non renouvelable;0.0
2020-04-22;93;Hydraulique;18910.834
2020-04-22;93;Solaire;275.882
2020-04-22;93;Thermique non renouvelable;1649.2085
2020-04-23;84;Hydraulique;89168.414
2020-04-23;84;Thermique non renouvelable;0.0
2020-04-23;53;Thermique non renouvelable;0.0
2020-04-23;24;Nucléaire;219362.34
2020-04-23;24;Solaire;329.0035
2020-04-23;32;Thermique non renouvelable;0.0
2020-04-23;11;Thermique non renouvelable;0.0
2020-04-23;28;Nucléaire;120165.664
2020-04-23;75;Nucléaire;121276.266
2020-04-23;75;Thermique non renouvelable;0.0
2020-04-23;93;Thermique non renouvelable;1732.6844
2020-04-24;84;Thermique non renouvelable;0.0
2020-04-24;53;Thermique non renouvelable;0.0
2020-04-24;24;Nucléaire;208270.44
2020-04-24;32;Thermique non renouvelable;0.0
2020-04-24;75;Nucléaire;120007.84
2020-04-24;93;Hydraulique;17473.977
2020-04-25;27;Solaire;184.737
2020-04-25;53;Thermique non renouvelable;0.0
2020-04-25;24;Solaire;281.3205
2020-04-25;44;Nucléaire;107360.63
2020-04-25;32;Eolien;98.7075
2020-04-25;32;Thermique non renouvelable;0.0
2020-04-25;75;Thermique non renouvelable;0.0
2020-04-25;93;Solaire;504.6375
2020-04-25;93;Solaire;556.7085
2020-04-26;24;Nucléaire;186495.31
2020-04-26;24;Solaire;358.8535
2020-04-26;44;Thermique non renouvelable;0.0
2020-04-26;32;Thermique non renouvelable;0.0
2020-04-26;75;Solaire;1544.4755
2020-04-27;24;Nucléaire;198874.48
2020-04-27;44;Nucléaire;106595.97
2020-04-27;44;Thermique non renouvelable;0.0
2020-04-27;75;Thermique non renouvelable;0.0
2020-04-28;32;Eolien;104.356
2020-04-28;75;Nucléaire;119754.734
2020-04-28;93;Hydraulique;20209.365
2020-04-29;53;Thermique non renouvelable;0.0
2020-04-29;24;Nucléaire;213745.34
