Code_commune;surf_moins_30;surf_30_40;surf_40_60;surf_60_80;surf_80_100;surf_100_120;surf_plus_120;surf_hors_res_principale;surf_hors_log_ordinaire
47093;4;;8;25;41;39;50;65;
47094;1;4;5;37;106;73;97;40;
47091;14;18;75;122;296;257;217;94;
47099;1;1;9;24;63;72;92;53;
47097;1;5;17;44;103;103;134;77;
47098;1;;2;6;24;34;70;40;
47095;1;;6;35;122;112;94;38;
47096;2;;4;8;20;21;40;37;
59071;6;6;55;96;226;180;343;58;
60060;2;3;31;30;48;48;73;15;
24407;2;2;3;16;38;23;37;78;
59070;3;2;9;12;30;34;47;13;
61393;1;4;6;10;17;16;10;34;
61394;1;6;30;80;107;65;76;140;
24409;1;2;25;98;170;115;120;100;
61395;4;1;2;14;25;18;34;50;
61396;1;;1;3;7;8;13;16;
61397;30;23;106;431;570;320;239;94;
61399;1;1;1;10;7;8;9;20;
59079;7;71;410;715;954;366;166;190;
72046;18;7;40;136;193;106;148;111;
59078;3;1;18;37;64;73;69;45;
72044;1;1;5;20;38;48;54;38;
24401;2;5;8;17;40;31;44;84;
24404;2;5;5;12;20;20;28;52;
59075;1;6;11;41;81;72;74;22;
72042;6;37;90;231;281;144;162;197;
59074;3;13;92;164;265;175;188;105;
59077;2;1;6;16;13;23;37;15;
84039;32;98;272;464;737;443;394;463;
84038;12;31;102;258;543;348;467;264;
60069;2;11;54;56;98;94;107;47;
60068;30;48;181;392;371;205;141;126;
84035;194;395;908;1272;1107;453;474;792;
60067;6;11;37;96;134;72;70;57;
84034;27;45;216;265;525;474;556;251;
84037;17;34;110;177;218;171;196;190;
60065;3;7;51;127;183;136;103;37;
84036;22;36;99;182;331;310;413;157;
84031;114;220;831;1331;1311;603;587;807;
60063;2;7;15;43;89;78;78;43;
84030;18;36;113;233;481;312;288;402;
60062;1;1;14;24;30;27;26;12;
61390;1;1;8;14;12;15;18;23;
61391;24;65;167;328;437;261;255;254;
84032;2;6;19;31;34;59;62;136;
24419;2;5;7;24;112;96;131;72;
59082;2;13;34;89;214;168;165;28;
24418;2;1;23;74;129;96;96;97;
59081;2;3;21;45;64;42;44;31;
60070;1;;11;32;42;42;42;12;
59084;3;9;75;134;229;169;210;55;
59083;2;1;5;5;14;18;40;6;
59080;3;25;75;151;274;231;280;68;
72059;4;9;14;64;88;78;105;73;
24411;1;;2;7;20;13;24;20;
24410;2;4;16;39;95;50;50;116;
59089;1;8;50;79;174;136;120;65;
72058;5;21;131;332;691;520;831;157;
24412;3;5;29;67;98;113;111;364;
72053;3;9;42;63;152;98;125;75;
24414;1;3;3;19;32;29;47;51;
72054;4;12;70;229;468;307;269;62;
24417;1;2;13;45;62;49;65;111;
59088;2;14;41;74;195;134;261;63;
72051;3;16;65;202;425;295;347;122;
72052;3;4;26;59;81;74;83;167;
11109;1;;7;10;4;5;2;14;
11108;1;;1;1;4;6;10;12;
72050;16;24;47;128;222;132;133;93;
84028;3;9;23;56;113;127;131;166;
84027;6;29;90;162;277;242;329;143;
84029;15;34;109;242;597;433;370;208;
11101;1;1;3;6;16;3;1;57;
60079;3;7;23;46;98;96;77;26;
84024;3;19;50;70;91;86;107;86;
60078;1;2;5;17;12;3;11;8;
84023;1;3;2;9;9;8;18;38;
84026;32;112;273;342;444;301;310;447;
11102;1;4;13;32;62;64;88;50;
84025;10;23;69;113;180;181;241;320;
60075;1;2;5;10;14;13;9;11;
84020;7;27;62;116;139;114;138;623;
11104;1;3;5;6;7;10;3;117;
60074;1;7;13;53;128;137;128;32;
11107;1;1;3;8;7;9;7;28;
60073;1;2;10;37;73;47;47;36;
11106;29;113;252;478;880;528;379;508;
60072;1;1;7;26;34;34;28;19;
84021;2;1;2;9;12;9;5;64;
60082;2;6;22;65;82;72;75;39;
59092;14;33;149;344;628;306;181;168;
