Code_commune;type_maison;type_appartement;type_autres
24408;152;4;
61392;89;;1
24407;194;1;4
61393;95;3;
61394;477;28;
24409;625;5;1
61395;144;;4
61396;49;;
61397;1638;169;6
61398;31;;
61399;56;;1
24401;225;5;1
24404;137;4;3
24403;57;1;
24406;64;4;1
24405;268;3;1
61390;91;1;
61391;1552;236;3
24419;434;9;6
24418;503;14;1
24411;86;;1
24410;366;4;2
24413;123;1;1
24412;731;43;16
24415;117;;
24414;174;8;3
24417;346;1;1
24416;157;2;
97362;840;14;32
97361;333;;22
97360;1673;60;24
97356;360;1;1
97358;33;;
97357;1685;27;13
97352;53;;9
97353;1211;28;80
61310;274;49;
24367;130;1;7
24366;505;7;4
61314;271;;
61316;57;1;
61317;111;;
61319;143;;
61309;1309;32;18
24361;197;4;1
24360;224;5;1
24362;1048;106;13
24365;149;3;13
24364;453;11;1
73309;141;2;1
73308;240;72;3
73307;263;1944;11
73306;826;2769;2
73304;145;6723;21
61321;176;11;
73303;1662;2173;56
61322;65;;
73302;155;9;2
24378;84;;1
61323;85;2;1
73301;320;81;
24377;90;1;
61324;808;35;2
73300;857;813;4
24379;340;12;2
61326;129;24;1
61327;220;11;
61328;148;13;
61329;318;11;
24370;885;26;16
24372;2380;539;60
24371;279;6;6
24374;193;3;
24373;209;5;4
24376;811;92;1
24375;137;2;
73318;128;2433;1
73317;534;1149;3
61330;140;;
73316;140;13;
61331;105;;
73315;211;15;1
61332;139;;
73314;118;1;
61333;121;1;1
73313;121;6;
24345;266;1;
73312;379;52;3
73311;85;2;
24347;96;4;1
61336;78;;1
73310;189;16;1
24346;265;6;1
24349;213;2;1
24348;234;5;1
61339;1267;94;17
85307;2241;211;2
24341;568;20;8
85305;532;31;1
24340;1889;42;3
85306;351;4;2
85303;914;20;3
85304;389;4;5
85301;656;9;26
85302;2250;162;32
85300;1830;32;7
73329;567;271;4
73328;705;441;6
61341;720;45;1
73327;184;28;
61342;643;55;2
73326;739;100;
61344;570;40;2
73324;89;2;
24356;1033;61;8
61345;1265;144;5
73323;188;178;2
24355;317;28;2
61346;159;1;6
73322;410;1058;5
